carid,latitude,longitude,timestpdt,timestp
EV8,24.417766,54.433787,2019-03-17 15:03:05,2019-03-17 15:03:05
EV8,,,2019-03-17 15:03:10,2019-03-17 15:03:10
EV8,24.416473,54.438792,2019-03-17 15:03:15,2019-03-17 15:03:15
EV8,,,2019-03-17 15:03:20,2019-03-17 15:03:20
EV8,24.414841,54.444743,2019-03-17 15:03:25,2019-03-17 15:03:25
EV8,,,2019-03-17 15:03:30,2019-03-17 15:03:30
EV8,24.414164,54.447144,2019-03-17 15:03:35,2019-03-17 15:03:35
EV8,,,2019-03-17 15:03:40,2019-03-17 15:03:40
EV8,24.413055,54.451946,2019-03-17 15:03:45,2019-03-17 15:03:45
EV8,,,2019-03-17 15:03:50,2019-03-17 15:03:50
EV8,24.412192,54.454989,2019-03-17 15:03:55,2019-03-17 15:03:55
EV8,,,2019-03-17 15:04:00,2019-03-17 15:04:00
EV8,24.411515,54.457492,2019-03-17 15:04:05,2019-03-17 15:04:05
EV8,,,2019-03-17 15:04:10,2019-03-17 15:04:10
EV8,24.410929,54.459724,2019-03-17 15:04:15,2019-03-17 15:04:15
EV8,,,2019-03-17 15:04:20,2019-03-17 15:04:20
EV8,24.410159,54.462531,2019-03-17 15:04:25,2019-03-17 15:04:25
